"Country/Area","Year","Unit","GDP, Per Capita GDP - US Dollars"
"Greece","2020","US$","17972.015451790518"
"Greece","2021","US$","20571.21793576842"
"Greenland","2019","US$","53535.81011163846"
"Greenland","2020","US$","54902.91652568676"
"Greenland","2021","US$","58185.240746841344"
"Grenada","2019","US$","9887.922492747955"
"Grenada","2020","US$","8437.549621866596"
"Grenada","2021","US$","8950.228562002334"
"Guatemala","2019","US$","4511.219050607839"
"Guatemala","2020","US$","4470.843195349529"
"Guatemala","2021","US$","4883.207815943189"
"Guinea","2019","US$","1043.8998861952325"
"Guinea","2020","US$","1073.6548866268981"
"Guinea","2021","US$","1185.0591401061452"
"Guinea-Bissau","2019","US$","692.9000542046755"
"Guinea-Bissau","2020","US$","692.7982097953384"
"Guinea-Bissau","2021","US$","758.5521196778986"
"Guyana","2019","US$","6477.29672607993"
"Guyana","2020","US$","6863.0923946671355"
"Guyana","2021","US$","9998.545452228725"
"Haiti","2019","US$","1260.286977812112"
"Haiti","2020","US$","1463.5228506922215"
"Haiti","2021","US$","1663.5620621990035"
"Honduras","2019","US$","2519.367422545348"
"Honduras","2020","US$","2354.121480101052"
"Honduras","2021","US$","2771.7226164524714"
"Hungary","2019","US$","16781.827508669016"
"Hungary","2020","US$","16120.288034378074"
"Hungary","2021","US$","18728.32441764323"
"Iceland","2019","US$","68813.44586814937"
"Iceland","2020","US$","59166.91841942483"
"Iceland","2021","US$","69133.13408221582"
"India","2019","US$","2061.100834351948"
"India","2020","US$","1913.6553664765308"
"India","2021","US$","2274.4765416097475"
"Indonesia","2019","US$","4151.227554541349"
"Indonesia","2020","US$","3894.2722105637126"
"Indonesia","2021","US$","4332.709280894053"
"Iran, Islamic Republic of","2019","US$","5999.658534638251"
"Iran, Islamic Republic of","2020","US$","6228.127101020427"
"Iran, Islamic Republic of","2021","US$","6766.020901611621"
"Iraq","2019","US$","5621.1816949175245"
"Iraq","2020","US$","4251.337242871579"
"Iraq","2021","US$","4686.129928661717"
"Ireland","2019","US$","81560.48878729947"
"Ireland","2020","US$","86098.26877806966"
"Ireland","2021","US$","101108.98915909439"
"Israel","2019","US$","46228.89733111695"
"Israel","2020","US$","46486.025221936936"
"Israel","2021","US$","54111.02104466244"
"Italy","2019","US$","33674.39875245384"
"Italy","2020","US$","31877.930154564336"
"Italy","2021","US$","35578.85106731486"
"Jamaica","2019","US$","5626.1691870020595"
"Jamaica","2020","US$","4897.265870289478"
"Jamaica","2021","US$","5183.580141575789"
"Japan","2019","US$","40728.594082664335"
"Japan","2020","US$","40242.064529023344"
"Japan","2021","US$","39649.92750532652"
"Jordan","2019","US$","4159.653753775904"
"Jordan","2020","US$","3998.380331842267"
"Jordan","2021","US$","4058.3543011603215"
"Kazakhstan","2019","US$","9686.716746750511"
"Kazakhstan","2020","US$","9014.183025222474"
"Kazakhstan","2021","US$","10054.890081729845"
"Kenya","2019","US$","1970.0800629653995"
"Kenya","2020","US$","1936.4249498434394"
"Kenya","2021","US$","2081.798969889229"
"Kingdom of Eswatini","2019","US$","3843.256710560596"
"Kingdom of Eswatini","2020","US$","3364.8605609737706"
"Kingdom of Eswatini","2021","US$","3968.90595896081"
"Kiribati","2019","US$","1411.9407285483098"
"Kiribati","2020","US$","1404.7511601299313"
"Kiribati","2021","US$","1764.9344861010507"
"Kosovo","2019","US$","4682.788953191786"
"Kosovo","2020","US$","4629.499953646918"
"Kosovo","2021","US$","5663.086498206868"
"Kuwait","2019","US$","30666.220367346436"
"Kuwait","2020","US$","24297.70114594342"
"Kuwait","2021","US$","32150.178824381477"
"Kyrgyzstan","2019","US$","1402.833749906657"
"Kyrgyzstan","2020","US$","1211.0546072450404"
"Kyrgyzstan","2021","US$","1339.0052104083031"
"Lao People's Democratic Republic","2019","US$","2598.5057947226232"
"Lao People's Democratic Republic","2020","US$","2611.6856070814374"
